;0
Fwd Seg Size Min;int64
Bwd Byts/b Avg;int64
Subflow Fwd Byts;int64
SYN Flag Cnt;int64
Fwd Pkt Len Std;float64
FIN Flag Cnt;int64
Bwd URG Flags;int64
Fwd Seg Size Avg;float64
TotLen Bwd Pkts;float64
Src Port;int64
Idle Mean;float64
Flow IAT Std;float64
TotLen Fwd Pkts;float64
Dst Port;int64
Idle Min;float64
Pkt Len Std;float64
Flow Byts/s;float64
ECE Flag Cnt;int64
Pkt Len Min;float64
RST Flag Cnt;int64
Fwd IAT Std;float64
Down/Up Ratio;float64
Protocol;int64
Fwd Pkts/s;float64
Fwd Byts/b Avg;int64
Bwd Pkt Len Min;float64
Fwd Pkt Len Min;float64
Fwd Pkt Len Mean;float64
Flow Pkts/s;float64
Pkt Len Max;float64
Fwd IAT Tot;float64
CWE Flag Count;int64
Idle Max;float64
Fwd IAT Min;float64
Pkt Size Avg;float64
Bwd Seg Size Avg;float64
PSH Flag Cnt;int64
Flow IAT Min;float64
Fwd URG Flags;int64
Bwd Pkt Len Max;float64
Tot Bwd Pkts;int64
Fwd Header Len;int64
ACK Flag Cnt;int64
Bwd Blk Rate Avg;int64
Fwd Act Data Pkts;int64
Fwd Pkts/b Avg;int64
Pkt Len Mean;float64
Subflow Bwd Pkts;int64
Bwd IAT Mean;float64
Subflow Bwd Byts;int64
Bwd Pkt Len Mean;float64
Bwd IAT Max;float64
Bwd PSH Flags;int64
Bwd IAT Min;float64
Active Std;float64
Bwd Pkts/s;float64
Pkt Len Var;float64
Bwd IAT Tot;float64
Bwd Header Len;int64
Tot Fwd Pkts;int64
Flow Duration;int64
Fwd PSH Flags;int64
Init Bwd Win Byts;int64
Fwd IAT Max;float64
Flow IAT Mean;float64
Fwd Blk Rate Avg;int64
URG Flag Cnt;int64
Bwd IAT Std;float64
Fwd IAT Mean;float64
Active Mean;float64
Active Max;float64
Fwd Pkt Len Max;float64
Bwd Pkts/b Avg;int64
Subflow Fwd Pkts;int64
Flow IAT Max;float64
Bwd Pkt Len Std;float64
Active Min;float64
Init Fwd Win Byts;int64
Idle Std;float64
